Team,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,eDiff,Pace,Ast/TO,W's,Win %
Flamengo,89.2,30.7,68.1,0.451,13.3,37.1,0.359,14.4,18.8,0.764,12.2,30.6,42.8,20.7,6.9,1.8,11.4,0.584,0.549,31.8,74.9,54.1,67.5,13.0,9.3,4.4,119.7,97.6,22.1,74.4,1.8,36,0.947
Sao Paulo FC,89.0,31.7,66.1,0.48,11.4,30.1,0.38,14.1,17.7,0.797,9.9,28.9,38.9,17.9,7.4,3.0,10.9,0.602,0.567,27.9,75.0,52.4,56.3,12.9,10.0,8.4,120.2,104.4,15.8,73.9,1.6,29,0.744
Minas,86.0,30.3,63.0,0.481,10.4,26.1,0.398,15.0,19.9,0.757,10.7,28.7,39.4,19.1,5.8,2.3,13.5,0.599,0.563,31.8,74.9,54.8,62.9,15.8,8.0,6.8,117.4,106.1,11.3,72.8,1.4,27,0.771
Franca,86.0,30.6,64.1,0.478,9.0,24.2,0.372,15.7,19.9,0.788,8.6,27.6,36.2,19.7,7.2,2.3,12.5,0.59,0.548,24.9,74.1,50.4,64.4,14.7,9.6,6.8,113.4,108.7,4.7,75.4,1.6,18,0.514
Unifacisa Paraiba,82.5,30.5,67.1,0.455,9.5,26.1,0.364,11.9,16.2,0.736,10.8,25.9,36.8,17.6,7.8,1.9,13.8,0.556,0.526,29.0,70.3,49.5,57.7,15.6,10.4,5.0,109.0,108.2,0.8,75.9,1.3,15,0.455
Corinthians,82.3,28.8,64.6,0.446,11.2,29.4,0.38,13.5,17.4,0.779,10.0,26.6,36.6,17.5,6.4,2.1,12.9,0.57,0.533,27.3,69.0,48.6,60.8,15.2,8.8,5.1,111.6,106.2,5.3,72.9,1.4,19,0.594
Bauru,80.8,29.1,62.9,0.462,9.5,27.1,0.351,13.2,18.4,0.716,9.7,26.6,36.3,17.5,7.9,1.7,12.2,0.569,0.537,27.1,73.6,50.5,60.2,14.6,10.9,4.7,110.9,104.4,6.5,72.6,1.4,22,0.629
Mogi das Cruzes,80.3,28.8,64.7,0.445,9.7,28.7,0.338,13.0,16.8,0.777,11.1,27.7,38.8,20.5,6.4,2.7,15.1,0.557,0.52,30.0,71.5,51.2,71.4,17.3,8.5,7.3,106.7,110.5,-3.8,75.1,1.4,17,0.486
Basquete Cearense,77.4,28.5,66.8,0.426,8.2,27.3,0.301,12.3,17.6,0.7,10.2,27.7,38.0,14.4,8.1,3.1,13.1,0.519,0.487,25.2,71.4,47.9,50.6,14.9,10.6,8.6,101.2,103.0,-1.8,75.4,1.1,13,0.419
Campo Mourao,76.0,28.1,67.0,0.419,9.3,28.6,0.327,10.5,16.9,0.623,11.7,25.7,37.5,16.8,5.9,1.5,13.3,0.511,0.489,28.9,70.0,48.4,60.0,15.2,7.8,3.9,100.9,115.5,-14.6,74.8,1.3,6,0.2
Paulistano,75.8,27.7,67.6,0.409,9.7,30.3,0.321,10.7,15.3,0.701,13.0,28.4,41.4,17.4,7.3,1.8,12.7,0.51,0.481,32.1,73.0,52.1,62.8,14.6,10.1,4.8,104.4,101.1,3.3,70.6,1.4,24,0.667
Caxias Do Sul Basquetetriches,75.7,26.7,60.5,0.441,8.1,24.3,0.335,14.2,20.4,0.695,10.3,25.4,35.8,15.4,5.6,1.2,13.5,0.545,0.509,28.9,73.9,51.0,57.8,16.3,7.8,3.3,105.5,112.3,-6.8,70.9,1.1,9,0.281
Uniceub-BRB-Brasilia,75.6,26.2,64.0,0.409,9.6,29.3,0.327,13.6,18.7,0.729,9.8,26.8,36.7,15.7,6.0,1.5,15.4,0.523,0.484,25.1,70.4,47.4,60.1,17.6,7.7,3.7,98.0,116.8,-18.7,76.5,1.0,5,0.161
Pato Basquete,74.6,26.4,64.8,0.408,7.5,23.8,0.317,14.2,20.7,0.687,11.1,25.7,36.8,14.8,7.7,1.8,13.8,0.505,0.466,27.6,69.0,47.5,55.9,15.7,10.3,5.3,99.0,111.4,-12.4,74.6,1.1,12,0.375
Cerrado Basquete,74.5,27.2,65.2,0.418,8.1,25.0,0.322,12.0,16.9,0.709,11.4,26.1,37.5,14.8,7.5,2.2,13.1,0.513,0.48,29.0,71.5,49.5,54.2,15.2,10.2,5.7,101.7,109.1,-7.4,72.7,1.1,7,0.233
Pinheiros Sky,71.0,25.9,65.7,0.394,8.0,25.5,0.314,11.3,16.4,0.689,10.3,26.4,36.7,17.2,7.7,2.2,15.1,0.487,0.455,25.2,71.3,47.1,66.4,17.2,10.2,6.4,92.8,108.3,-15.5,76.4,1.1,8,0.267
